Datetime,Generated power_1451 (kW),Ambient temperature_1452 (degree C),Irradiance_1453 (W/m2),PV module temperature_1454 (C)
2022-01-01 00:00:00,0.0000000000,,,
2022-01-01 00:15:00,0.0000000000,,,
2022-01-01 00:30:00,0.0000000000,,,
2022-01-01 00:45:00,0.0000000000,,,
2022-01-01 01:00:00,0.0000000000,,,
2022-01-01 01:15:00,0.0000000000,,,
2022-01-01 01:30:00,0.0000000000,,,
2022-01-01 01:45:00,0.0000000000,,,
2022-01-01 02:00:00,0.0000000000,,,
2022-01-01 02:15:00,0.0000000000,,,
2022-01-01 02:30:00,0.0000000000,,,
2022-01-01 02:45:00,0.0000000000,,,
2022-01-01 03:00:00,0.0000000000,,,
2022-01-01 03:15:00,0.0000000000,,,
2022-01-01 03:30:00,0.0000000000,,,
2022-01-01 03:45:00,0.0000000000,,,
2022-01-01 04:00:00,0.0000000000,,,
2022-01-01 04:15:00,0.0000000000,,,
2022-01-01 04:30:00,0.0000000000,,,
2022-01-01 04:45:00,0.0000000000,,,
2022-01-01 05:00:00,0.0000000000,,,
2022-01-01 05:15:00,0.0000000000,,,
2022-01-01 05:30:00,0.0000000000,,,
2022-01-01 05:45:00,0.0000000000,,,
2022-01-01 06:00:00,0.0000000000,,,
2022-01-02 00:00:00,0.0000000000,33.0000000000,0.0000000000,17.2737000000
2022-01-02 00:15:00,0.0000000000,33.0000000000,0.0000000000,16.6947900000
2022-01-02 00:30:00,0.0000000000,33.0000000000,0.0000000000,16.3190700000
2022-01-02 00:45:00,0.0000000000,32.0000000000,0.0000000000,16.1945400000
2022-01-02 01:00:00,0.0000000000,32.0000000000,0.0000000000,16.2851800000
2022-01-02 01:15:00,0.0000000000,26.0000000000,0.0000000000,16.2430100000
2022-01-02 01:30:00,0.0000000000,30.0000000000,0.0000000000,15.7120100000
2022-01-02 01:45:00,0.0000000000,31.0000000000,0.0000000000,15.8046000000
2022-01-02 02:00:00,0.0000000000,32.0000000000,0.0000000000,17.1696900000
2022-01-02 02:15:00,0.0000000000,31.0000000000,0.0000000000,17.8193300000
